gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
ILK,FAK / focal-adhesion,RNAi,PAN,B_vs_C,18,446,-0.255421732166,-0.28025604696399997,-0.024834314797999968,0.5799256557047456,0.6984660306793864,-0.08866868161322497,0.07723066721900002,either
WWTR1,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,445,-0.10589143551855,-0.113821048765,-0.007929613246450001,0.3982613051293854,0.5643287134257314,-0.08359831889255001,0.12958965747450002,either
BCAR1,FAK / focal-adhesion,RNAi,PAN,A_vs_C,187,445,-0.183811592126,-0.120738970627,0.06307262149900002,0.0005685502350003108,0.00031999360012799745,0.019313035853999988,0.09759977131162473,either
YAP1,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,446,-0.07253414134245,-0.0650953599566,0.007438781385849996,0.6350042147698534,0.45705085898282033,-0.05360833878202,0.05119958797735481,either
YAP1,YAP/TAZ-TEAD output,RNAi,PAN,A_vs_C,188,446,-0.0332902633138,-0.0650953599566,-0.0318050966428,0.9761698646088532,0.9414411711765764,-0.08081930383993725,0.002694102238400005,either
TEAD1,YAP/TAZ-TEAD output,RNAi,PAN,A_vs_C,187,445,-0.189079267536,-0.0520327226814,0.1370465448546,4.7128664886945306e-07,1.999960000799984e-05,0.0636690483611,0.1924505085269,either
TEAD3,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,445,-0.09492389056325,-0.0713489576789,0.023574932884350003,0.1729797341819551,0.2859342813143737,-0.04685570624720001,0.10691553938584739,either
TEAD2,YAP/TAZ-TEAD output,RNAi,PAN,A_vs_C,187,445,-0.100198571919,-0.10860364362,-0.008405071700999994,0.846131486591374,0.8274434511309774,-0.033664199915699994,0.007683968998599994,either
TEAD1,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,445,-0.13295862869299999,-0.0520327226814,0.08092590601159999,0.45529116804629893,0.1523769524609508,-0.09949008407445499,0.164017705788,either
WWTR1,YAP/TAZ-TEAD output,RNAi,PAN,A_vs_C,187,445,-0.162822941638,-0.113821048765,0.04900189287300001,0.0009597103194283506,0.007019859602807944,0.012204284433599999,0.08039095656542242,either
PTK2,FAK / focal-adhesion,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
PTK2,FAK / focal-adhesion,RNAi,CNS,A_vs_C,33,16,-0.139640764546,0.10699475093695,0.24663551548294999,0.041141908478681925,0.00505989880202396,-0.03638114708949999,0.331273416107,either
ITGAV,FAK / focal-adhesion,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
ITGAV,FAK / focal-adhesion,RNAi,CNS,A_vs_C,33,16,-0.3364570736,0.015830220807510002,0.35228729440751,0.010955484901026701,0.004579908401831963,-0.02693768537200003,0.5514717296349,either
TLN1,FAK / focal-adhesion,RNAi,CNS,B_vs_C,1,10,,,,,,,,either
VCL,FAK / focal-adhesion,RNAi,CNS,A_vs_C,3,7,,,,,,,,either
VCL,FAK / focal-adhesion,RNAi,CNS,B_vs_C,0,7,,,,,,,,either
TLN1,FAK / focal-adhesion,RNAi,CNS,A_vs_C,15,10,-0.340302038747,-0.197630870849,0.142671167898,0.027828247415465933,0.10627787444251115,-0.09775979229549997,0.48458431514499994,either
FERMT2,FAK / focal-adhesion,RNAi,CNS,B_vs_C,1,10,,,,,,,,either
TEAD3,YAP/TAZ-TEAD output,RNAi,PAN,A_vs_C,187,445,-0.115115430098,-0.0713489576789,0.043766472419100005,0.0007190160239213748,0.0006799864002719945,0.019381923789599992,0.0693178333534,either
ITGB5,FAK / focal-adhesion,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
FERMT2,FAK / focal-adhesion,RNAi,CNS,A_vs_C,17,10,-0.327438735692,-0.182864356944,0.144574378748,0.07621870889325431,0.05339893202135957,-0.021015576480999998,0.5845502094820499,either
ILK,FAK / focal-adhesion,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
PXN,FAK / focal-adhesion,RNAi,CNS,A_vs_C,3,7,,,,,,,,either
PXN,FAK / focal-adhesion,RNAi,CNS,B_vs_C,0,7,,,,,,,,either
TEAD4,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,445,-0.12940877326150002,-0.00385769286423,0.12555108039727003,0.0015275866405166291,0.0003599928001439971,0.036319945233815,0.23034147163339427,either
BCAR1,FAK / focal-adhesion,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
PRMT5,CTRL MTAP-synth-leth,RNAi,PAN,B_vs_C,18,445,-0.26627679818649996,-0.261664205223,0.004612592963499973,0.09865552149212198,0.4499510009799804,-0.0794091252578625,0.3422694702940737,either
WWTR1,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
ILK,FAK / focal-adhesion,RNAi,CNS,A_vs_C,33,16,-0.295465656507,-0.3163432184455,-0.02087756193849999,0.4280972094259295,0.6823663526729465,-0.103390967394,0.126807923082,either
